employee_id,fname,lname,country_loc,port_loc,email,subsidiary,contracted_by,title
951,Rhonda,Little,Bahamas,South Riding Point,r.little@Freighterzz.bs,Freighterzz,Orient Overseas Container Line Ltd.,Harbor Master
199,Stephanie,Haynes,Romania,Tulcea,s.haynes@Wavez-zing.ro,Wavez-zing,"Hyundai Merchant Marine Co., Ltd.",Stevedore
885,Michael,Mora,Haiti,Port Au Prince,m.mora@Wavez-zing.ht,Wavez-zing,Yang-Ming-Line Yang Ming Line,Harbor Master
888,Nathan,Campbell,Bahamas,South Riding Point,n.campbell@Spt-septum.bs,Spt-septum,Hapag Lloyd Container Line ,Longshoreman
994,Mary,Jones,Grenada,St George's,m.jones@Wavez-zing.gd,Wavez-zing,TURKON-LINE-INC,Harbor Master
105,Jacqueline,Mitchell,Finland,Veitsiluoto,j.mitchell@Spt-septum.fi,Spt-septum,Hapag Lloyd Container Line ,Harbor Master
428,Dennis,Neal,United Kingdom,Yarmouth Harbour,d.neal@Wavez-zing.uk,Wavez-zing,ARKAS CONTAINER TRANSPORT S.A.,Dockworker
590,Charles,Rivas,Bermuda,St George,c.rivas@Wavez-zing.bm,Wavez-zing,GRIEG-STAR-SHIPPING,Marine Superintendent
935,Suzanne,Robinson,Georgia,Supsa Marine Terminal,s.robinson@Wavez-zing.ge,Wavez-zing,Hafiz-Darya-Shipping-Lines,Longshoreman
676,Ann,Gonzales,Netherlands,Zaandam,a.gonzales@Freighterzz.nl,Freighterzz,Nippon-Yusen-Kabushiki-Kaisha-Line,Dockworker
245,Thomas,Mata,Estonia,Virtsu,t.mata@Freighterzz.ee,Freighterzz,Pacific-International-Lines,Harbor Master
371,Thomas,Torres,Croatia,Zaliv Rasa,t.torres@Spt-septum.hr,Spt-septum,ALIANCA,Port Engineer
578,Tammy,Jackson,Svalbard,Ny Alesund,t.jackson@Freighterzz.sj,Freighterzz,Yang-Ming-Line Yang Ming Line,Marine Superintendent
524,Kevin,Howard,Saint Lucia,Vieux Fort,k.howard@Spt-septum.lc,Spt-septum,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Harbor Master
440,Katelyn,Chandler,Turkey,Zonguldak,k.chandler@Spt-septum.tr,Spt-septum,Hoegh-Autoliners,Port Engineer
557,Victoria,Potts,Saint Kitts and Nevis,Basseterre,v.potts@Freighterzz.kn,Freighterzz,Yang-Ming-Line Yang Ming Line,Dockworker
424,Joshua,Conrad,Belgium,Zeebrugge,j.conrad@Wavez-zing.be,Wavez-zing,Hafiz-Darya-Shipping-Lines,Dockworker
427,Sara,Marquez,Netherlands,Zaandam,s.marquez@Spt-septum.nl,Spt-septum,ALIANCA,Dockworker
832,Kenneth,Pena,Saint Lucia,Vieux Fort,k.pena@Freighterzz.lc,Freighterzz,NSLI,Port Engineer
539,Amanda,Rodriguez,Guernsey,Saint Sampson,a.rodriguez@Wavez-zing.gg,Wavez-zing,MAERSK LINE,Dockworker
140,James,Williams,United States,Brooklyn,j.williams@Freighterzz.com,Freighterzz,HYDE-SHIPPING,Port Engineer
942,Brooke,Mcdaniel,Portugal,Vila Real De S Antonio,b.mcdaniel@Wavez-zing.pt,Wavez-zing,HYDE-SHIPPING,Longshoreman
912,Lee,Johnson,Cuba,Vita,l.johnson@Spt-septum.cu,Spt-septum,Nippon-Yusen-Kabushiki-Kaisha-Line,Longshoreman
210,Claire,Lewis,Germany,Wolgast,c.lewis@Freighterzz.de,Freighterzz,Mediterranean Shipping Company,Longshoreman
82,Sarah,Bradley,Bermuda,St George,s.bradley@Freighterzz.bm,Freighterzz,GREAT-WHITE-FLEET,Port Engineer
65,John,Proctor,Curacao,Willemstad,j.proctor@Wavez-zing.cw,Wavez-zing,HYDE-SHIPPING,Longshoreman
629,Kevin,Small,Saint Lucia,Vieux Fort,k.small@Spt-septum.lc,Spt-septum,The-Shipping-Corporation-of-India-Ltd,Longshoreman
131,Teresa,Conner,Tunisia,Zarzis,t.conner@Spt-septum.tn,Spt-septum,ATLANTIC-CONTAINER-LINE,Harbor Master
289,Richard,Mccarthy,United Kingdom,Yarmouth Harbour,r.mccarthy@Wavez-zing.uk,Wavez-zing,Hafiz-Darya-Shipping-Lines,Stevedore
534,Andrea,Santos,Faroe Islands,Vestmanna,a.santos@Spt-septum.fo,Spt-septum,Yang-Ming-Line Yang Ming Line,Marine Pilot
718,Donna,Ponce,Haiti,Port Au Prince,d.ponce@Wavez-zing.ht,Wavez-zing,GREAT-WHITE-FLEET,Stevedore
630,Amanda,Mccoy,Denmark,Vordingborg,a.mccoy@Freighterzz.dk,Freighterzz,AMERICAN-PRESIDENT-LINES,Longshoreman
486,David,Martinez,Finland,Veitsiluoto,d.martinez@Freighterzz.fi,Freighterzz,Pacific-International-Lines,Marine Superintendent
288,Valerie,Weiss,Dominican Republic,Santo Domingo,v.weiss@Wavez-zing.do,Wavez-zing,MAERSK LINE,Marine Pilot
652,Ashley,Williams,United Kingdom,Yarmouth Harbour,a.williams@Freighterzz.uk,Freighterzz,Hapag Lloyd Container Line ,Harbor Master
260,Marc,Patterson,Georgia,Supsa Marine Terminal,m.patterson@Wavez-zing.ge,Wavez-zing,Hapag Lloyd Container Line ,Dockworker
38,John,Kelly,Guernsey,Saint Sampson,j.kelly@Freighterzz.gg,Freighterzz,West-European-Container-Lines,Marine Pilot
551,Kristina,Jacobson,Faroe Islands,Vestmanna,k.jacobson@Wavez-zing.fo,Wavez-zing,GRIMALDI,Marine Pilot
443,Dennis,Bennett,Curacao,Willemstad,d.bennett@Wavez-zing.cw,Wavez-zing,"Kawasaki Kisen Kaisha, Ltd.",Marine Pilot
719,Andrea,Paul,Albania,Vlores,a.paul@Freighterzz.al,Freighterzz,CROWLEY,Dockworker
953,Nicholas,Brown,Curacao,Willemstad,n.brown@Wavez-zing.cw,Wavez-zing,United Arab Shipping Company Co.(S.A.G),Longshoreman
604,Terri,Lopez,Colombia,Turbo,t.lopez@Wavez-zing.co,Wavez-zing,GREAT-WHITE-FLEET,Marine Pilot
864,Valerie,Molina,Cuba,Vita,v.molina@Wavez-zing.cu,Wavez-zing,HYDE-SHIPPING,Marine Superintendent
189,Sonia,Houston,Turkey,Zonguldak,s.houston@Spt-septum.tr,Spt-septum,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Stevedore
842,Charles,Sampson,Bulgaria,Varna,c.sampson@Freighterzz.bg,Freighterzz,Hafiz-Darya-Shipping-Lines,Stevedore
798,Steven,Jordan,Croatia,Zaliv Rasa,s.jordan@Freighterzz.hr,Freighterzz,GOLD-STAR-LINE-LTD,Marine Superintendent
15,Lisa,Farrell,United States,Brooklyn,l.farrell@Freighterzz.com,Freighterzz,HANJIN-SHIPPING-CO-LTD,Stevedore
318,Megan,Brewer,Haiti,Port Au Prince,m.brewer@Spt-septum.ht,Spt-septum,TURKON-LINE-INC,Marine Pilot
496,Nicholas,Mata,Dominican Republic,Santo Domingo,n.mata@Spt-septum.do,Spt-septum,EVERGREEN-LINE,Dockworker
126,Kelly,Velez,Bahamas,South Riding Point,k.velez@Freighterzz.bs,Freighterzz,COSCO-Container-Lines,Stevedore
439,Meredith,Glover,Poland,Ustka,m.glover@Spt-septum.pl,Spt-septum,Hoegh-Autoliners,Longshoreman
110,Michael,May,Guernsey,Saint Sampson,m.may@Spt-septum.gg,Spt-septum,Hapag Lloyd Container Line ,Marine Pilot
782,Samantha,Krause,Caribbean Netherlands,Salina,s.krause@Freighterzz.bq,Freighterzz,ZIM Integrated Shipping Services Ltd,Longshoreman
209,Courtney,George,Puerto Rico,San Juan,c.george@Spt-septum.pr,Spt-septum,"Kawasaki Kisen Kaisha, Ltd.",Dockworker
412,Tara,Moore,Bahamas,South Riding Point,t.moore@Freighterzz.bs,Freighterzz,ANTILLEAN,Marine Pilot
671,Cheryl,Gordon,Portugal,Vila Real De S Antonio,c.gordon@Spt-septum.pt,Spt-septum,West-European-Container-Lines,Marine Superintendent
665,Antonio,Rowe,Tunisia,Zarzis,a.rowe@Wavez-zing.tn,Wavez-zing,Hoegh-Autoliners,Harbor Master
351,Angela,Smith,United States,Brooklyn,a.smith@Wavez-zing.com,Wavez-zing,Trinity-Shipping-Line,Marine Superintendent
759,Zachary,Booker,France,Villefranche,z.booker@Wavez-zing.fr,Wavez-zing,Mediterranean Shipping Company,Harbor Master
546,Christine,Crosby,Georgia,Supsa Marine Terminal,c.crosby@Spt-septum.ge,Spt-septum,"Kawasaki Kisen Kaisha, Ltd.",Longshoreman
407,Justin,Davis,Cuba,Vita,j.davis@Freighterzz.cu,Freighterzz,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Marine Pilot
304,Julia,Blake,Germany,Wolgast,j.blake@Freighterzz.de,Freighterzz,AMERICAN-PRESIDENT-LINES,Harbor Master
799,Christopher,Bird,Sweden,Ystad,c.bird@Wavez-zing.se,Wavez-zing,Hapag Lloyd Container Line ,Marine Superintendent
976,David,Johnson,United Kingdom,Yarmouth Harbour,d.johnson@Wavez-zing.uk,Wavez-zing,GRIEG-STAR-SHIPPING,Marine Superintendent
481,John,Bass,Germany,Wolgast,j.bass@Freighterzz.de,Freighterzz,GRIEG-STAR-SHIPPING,Longshoreman
344,Holly,Lowery,Cuba,Vita,h.lowery@Freighterzz.cu,Freighterzz,MAERSK LINE,Dockworker
588,Nancy,Scott,Tunisia,Zarzis,n.scott@Wavez-zing.tn,Wavez-zing,GRIEG-STAR-SHIPPING,Port Engineer
729,James,Macdonald,Aruba,Sint Nicolaas Baai,j.macdonald@Freighterzz.aw,Freighterzz,ALIANCA,Marine Pilot
256,Tracy,Wood,Denmark,Vordingborg,t.wood@Freighterzz.dk,Freighterzz,ZIM Integrated Shipping Services Ltd,Marine Superintendent
162,Mitchell,Cruz,Guernsey,Saint Sampson,m.cruz@Spt-septum.gg,Spt-septum,NAMSUNG-SHIPPING-CO-LTD,Port Engineer
559,Robert,Brown,Croatia,Zaliv Rasa,r.brown@Freighterzz.hr,Freighterzz,MAERSK LINE,Longshoreman
13,Joyce,Valenzuela,Norway,Vardo,j.valenzuela@Freighterzz.no,Freighterzz,Hoegh-Autoliners,Dockworker
726,Emily,Scott,Croatia,Zaliv Rasa,e.scott@Spt-septum.hr,Spt-septum,ANTILLEAN,Longshoreman
123,David,Carr,Puerto Rico,San Juan,d.carr@Freighterzz.pr,Freighterzz,GREAT-WHITE-FLEET,Harbor Master
174,John,Williamson,Bulgaria,Varna,j.williamson@Wavez-zing.bg,Wavez-zing,ARKAS CONTAINER TRANSPORT S.A.,Marine Pilot
952,Joshua,Mendoza,Ukraine,Yuzhnyy,j.mendoza@Spt-septum.ua,Spt-septum,CROWLEY,Longshoreman
685,Andrew,Villarreal,Poland,Ustka,a.villarreal@Wavez-zing.pl,Wavez-zing,GOLD-STAR-LINE-LTD,Marine Superintendent
57,Mark,Todd,Turks and Caicos Islands,Providenciales,m.todd@Spt-septum.tc,Spt-septum,Nippon-Yusen-Kabushiki-Kaisha-Line,Harbor Master
77,Christopher,Lopez,Puerto Rico,San Juan,c.lopez@Wavez-zing.pr,Wavez-zing,GOLD-STAR-LINE-LTD,Marine Superintendent
279,Jennifer,White,Puerto Rico,San Juan,j.white@Freighterzz.pr,Freighterzz,GRIEG-STAR-SHIPPING,Dockworker
234,Beth,Kane,Russia,Zarubino,b.kane@Freighterzz.ru,Freighterzz,Mediterranean Shipping Company,Harbor Master
903,Madison,Dixon,Saint Kitts and Nevis,Basseterre,m.dixon@Freighterzz.kn,Freighterzz,Trinity-Shipping-Line,Longshoreman
529,Linda,Adkins,Bosnia and Herzegovina,Neum,l.adkins@Spt-septum.ba,Spt-septum,The-Shipping-Corporation-of-India-Ltd,Marine Pilot
362,Nathaniel,Craig,Dominican Republic,Santo Domingo,n.craig@Spt-septum.do,Spt-septum,Hapag Lloyd Container Line ,Longshoreman
167,Jerry,Weaver,Bosnia and Herzegovina,Neum,j.weaver@Freighterzz.ba,Freighterzz,EVERGREEN-LINE,Dockworker
348,James,Palmer,Portugal,Vila Real De S Antonio,j.palmer@Spt-septum.pt,Spt-septum,West-European-Container-Lines,Marine Pilot
881,Danielle,Snyder,Saint Kitts and Nevis,Basseterre,d.snyder@Spt-septum.kn,Spt-septum,Hafiz-Darya-Shipping-Lines,Stevedore
467,Michael,Trujillo,Haiti,Port Au Prince,m.trujillo@Freighterzz.ht,Freighterzz,COSCO-Container-Lines,Marine Superintendent
550,Joel,Lopez,France,Villefranche,j.lopez@Spt-septum.fr,Spt-septum,NAMSUNG-SHIPPING-CO-LTD,Marine Pilot
402,James,Mueller,Grenada,St George's,j.mueller@Spt-septum.gd,Spt-septum,ALIANCA,Stevedore
150,Lee,Rojas,Barbados,Bridgetown,l.rojas@Freighterzz.bb,Freighterzz,Hapag Lloyd Container Line ,Port Engineer
489,Ann,Brock,Caribbean Netherlands,Salina,a.brock@Wavez-zing.bq,Wavez-zing,Hapag Lloyd Container Line ,Marine Superintendent
843,Patty,Skinner,Grenada,St George's,p.skinner@Wavez-zing.gd,Wavez-zing,Mediterranean Shipping Company,Longshoreman
444,Ashley,Graham,Georgia,Supsa Marine Terminal,a.graham@Spt-septum.ge,Spt-septum,The-Shipping-Corporation-of-India-Ltd,Harbor Master
73,Nathaniel,Perry,Germany,Wolgast,n.perry@Spt-septum.de,Spt-septum,GREAT-WHITE-FLEET,Marine Pilot
765,Mark,Pineda,Russia,Zarubino,m.pineda@Wavez-zing.ru,Wavez-zing,GOLD-STAR-LINE-LTD,Dockworker
954,Victoria,Khan,Guadeloupe,Port Louis,v.khan@Spt-septum.gp,Spt-septum,Korea Marine Transport Co. Ltd.,Port Engineer
572,Alexis,Boyer,Greece,Yithion,a.boyer@Spt-septum.gr,Spt-septum,HYDE-SHIPPING,Harbor Master
680,Stephanie,Spencer,Slovenia,Piran,s.spencer@Wavez-zing.si,Wavez-zing,HANJIN-SHIPPING-CO-LTD,Harbor Master
368,Jacqueline,Adams,Dominican Republic,Santo Domingo,j.adams@Freighterzz.do,Freighterzz,ANTILLEAN,Harbor Master
506,Amanda,Deleon,Dominica,Roseau,a.deleon@Spt-septum.dm,Spt-septum,Korea Marine Transport Co. Ltd.,Stevedore
755,Chris,Davis,Colombia,Turbo,c.davis@Freighterzz.co,Freighterzz,HORIZON-LINES,Marine Superintendent
505,Kathleen,Johnson,Bosnia and Herzegovina,Neum,k.johnson@Spt-septum.ba,Spt-septum,GRIEG-STAR-SHIPPING,Stevedore
774,Eric,Diaz,Saint Lucia,Vieux Fort,e.diaz@Freighterzz.lc,Freighterzz,ALIANCA,Harbor Master
276,John,Griffith,Dominican Republic,Santo Domingo,j.griffith@Freighterzz.do,Freighterzz,Mediterranean Shipping Company,Harbor Master
662,Corey,Thornton,Russia,Zarubino,c.thornton@Freighterzz.ru,Freighterzz,West-European-Container-Lines,Port Engineer
227,John,White,Curacao,Willemstad,j.white@Wavez-zing.cw,Wavez-zing,ALIANCA,Longshoreman
720,Kathryn,Gonzalez,Sweden,Ystad,k.gonzalez@Wavez-zing.se,Wavez-zing,West-European-Container-Lines,Dockworker
625,Maureen,Lopez,Caribbean Netherlands,Salina,m.lopez@Wavez-zing.bq,Wavez-zing,Yang-Ming-Line Yang Ming Line,Harbor Master
722,Benjamin,Watkins,Netherlands,Zaandam,b.watkins@Freighterzz.nl,Freighterzz,GREAT-WHITE-FLEET,Harbor Master
868,Joseph,Garza,Turkey,Zonguldak,j.garza@Wavez-zing.tr,Wavez-zing,Hoegh-Autoliners,Marine Superintendent
422,Kimberly,Davis,Bulgaria,Varna,k.davis@Wavez-zing.bg,Wavez-zing,AMERICAN-PRESIDENT-LINES,Dockworker
26,Keith,Frye,Germany,Wolgast,k.frye@Wavez-zing.de,Wavez-zing,Hoegh-Autoliners,Marine Pilot
576,Ashley,Franklin,Romania,Tulcea,a.franklin@Wavez-zing.ro,Wavez-zing,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Stevedore
325,Keith,Gutierrez,Caribbean Netherlands,Salina,k.gutierrez@Wavez-zing.bq,Wavez-zing,Hoegh-Autoliners,Marine Superintendent
181,Laura,Potter,Belgium,Zeebrugge,l.potter@Spt-septum.be,Spt-septum,CROWLEY,Dockworker
387,Raymond,Jackson,Caribbean Netherlands,Salina,r.jackson@Wavez-zing.bq,Wavez-zing,"Hyundai Merchant Marine Co., Ltd.",Dockworker
657,Jerry,Kerr,United States,Brooklyn,j.kerr@Spt-septum.com,Spt-septum,"Kawasaki Kisen Kaisha, Ltd.",Dockworker
566,Scott,Banks,Antigua and Barbuda,St Johns,s.banks@Wavez-zing.ag,Wavez-zing,NSLI,Dockworker
299,Debbie,Miller,Dominica,Roseau,d.miller@Wavez-zing.dm,Wavez-zing,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Dockworker
828,Johnny,Kennedy,Curacao,Willemstad,j.kennedy@Freighterzz.cw,Freighterzz,ATLANTIC-CONTAINER-LINE,Dockworker
955,Susan,Wheeler,Russia,Zarubino,s.wheeler@Spt-septum.ru,Spt-septum,Hapag Lloyd Container Line ,Longshoreman
624,John,Hart,Svalbard,Ny Alesund,j.hart@Spt-septum.sj,Spt-septum,COSCO-Container-Lines,Dockworker
132,Lisa,Lynn,Sweden,Ystad,l.lynn@Freighterzz.se,Freighterzz,CROWLEY,Dockworker
775,Jody,Brown,Portugal,Vila Real De S Antonio,j.brown@Spt-septum.pt,Spt-septum,Pacific-International-Lines,Harbor Master
889,Jamie,Stanton,U.S. Virgin Islands,Port Alucroix,j.stanton@Wavez-zing.vi,Wavez-zing,GRIMALDI,Harbor Master
904,Adam,Alexander,United Kingdom,Yarmouth Harbour,a.alexander@Wavez-zing.uk,Wavez-zing,Nippon-Yusen-Kabushiki-Kaisha-Line,Stevedore
769,Ryan,Garcia,Puerto Rico,San Juan,r.garcia@Wavez-zing.pr,Wavez-zing,ATLANTIC-CONTAINER-LINE,Marine Superintendent
236,Joshua,Huerta,Romania,Tulcea,j.huerta@Freighterzz.ro,Freighterzz,West-European-Container-Lines,Longshoreman
202,Carlos,Baldwin,Poland,Ustka,c.baldwin@Spt-septum.pl,Spt-septum,Nippon-Yusen-Kabushiki-Kaisha-Line,Longshoreman
235,Michael,Kidd,Morocco,Tangier-Mediterranean,m.kidd@Freighterzz.ma,Freighterzz,Hoegh-Autoliners,Marine Pilot
7,Cheyenne,Mccullough,Curacao,Willemstad,c.mccullough@Spt-septum.cw,Spt-septum,The-Shipping-Corporation-of-India-Ltd,Marine Superintendent
335,Rachel,Page,U.S. Virgin Islands,Port Alucroix,r.page@Wavez-zing.vi,Wavez-zing,CROWLEY,Marine Pilot
565,David,Huber,U.S. Virgin Islands,Port Alucroix,d.huber@Wavez-zing.vi,Wavez-zing,Hafiz-Darya-Shipping-Lines,Marine Pilot
760,Elizabeth,Taylor,Antigua and Barbuda,St Johns,e.taylor@Wavez-zing.ag,Wavez-zing,ARKAS CONTAINER TRANSPORT S.A.,Marine Superintendent
523,Dylan,Smith,Saint Lucia,Vieux Fort,d.smith@Freighterzz.lc,Freighterzz,"Kawasaki Kisen Kaisha, Ltd.",Dockworker
863,Marie,Arnold,Bulgaria,Varna,m.arnold@Spt-septum.bg,Spt-septum,Trinity-Shipping-Line,Marine Pilot
849,Sarah,Dalton,Norway,Vardo,s.dalton@Wavez-zing.no,Wavez-zing,CROWLEY,Marine Superintendent
675,James,Mclean,Croatia,Zaliv Rasa,j.mclean@Freighterzz.hr,Freighterzz,West-European-Container-Lines,Stevedore
